"COD_parcela";"nr_arboles"
"771-A-3C";5
"771-A-3E";3
"772-A-3C";12
"772-A-3E";1
"775-A-1";8
"776-A-1";2
"777-A-1";18
"78-A-1";14
"780-A-1";8
"784-A-3C";9
"784-A-3E";4
"79-A-3C";3
"79-A-3E";3
"790-A-3C";5
"790-A-3E";8
"792-A-3C";15
"792-A-3E";17
"794-A-3C";7
"794-A-3E";18
"795-A-3C";9
"795-A-3E";7
"797-A-3C";14
"797-A-3E";17
"798-A-1";3
"799-A-1";1
"8-A-1";6
"801-A-1";6
"81-A-4";18
"810-A-1";2
"813-A-1";4
"814-A-1";35
"816-A-1";18
"817-A-3C";41
"818-A-3C";8
"818-A-3E";11
"82-A-1";27
"820-A-1";3
"822-A-6C";39
"824-A-1";29
"825-A-1";1
"826-A-6C";14
"827-A-6C";4
"828-A-6C";39
"829-A-6C";17
"830-A-6C";27
"833-A-6C";2
"834-A-6C";18
"84-A-4C";6
"841-A-4";4
"85-A-1";21
"851-A-1";3
"852-A-1";16
"853-A-1";21
"854-A-1";25
"855-A-3C";21
"855-A-3E";2
"856-A-1";31
"858-A-4";4
"859-A-4";18
"86-A-1";3
"860-A-3E";16
"861-A-1";26
"862-A-1";41
"863-A-1";9
"864-A-1";21
"865-A-4";14
"866-A-3C";2
"866-A-3E";7
"869-A-1";57
"87-A-1";26
"870-A-1";11
"873-A-4";36
"875-A-4";26
"877-A-1";8
"878-A-1";28
"879-A-1";5
"88-A-4";4
"880-A-1";9
